X1,X2,labels,Player,Status,Player_ID,ORtg,DRtg,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DPM,BPM,VORP
-0.98694302,-1.378747849,Shooting Wings,Damjan Rudez,Active,rudezda01,103,110,7.6,0.574,0.694,0.078,1.3,5,3.2,7.7,1,0.3,14.3,13.5,0.7,0.9,1.6,0.048,-1,-2,-3,-0.4
-0.522032759,-1.348572898,3-and-D Wings,Danilo Gallinari,Active,gallida01,117,110,16.3,0.579,0.447,0.451,2.8,14.1,8.4,9.6,1.3,1.1,9.2,20.3,30.4,8.2,38.5,0.135,2.2,-1.2,1,10.4
0.10652644,-0.884010768,3-and-D Wings,Danny Granger,Inactive,grangda01,109,106,16.9,0.56,0.345,0.336,4.1,13.4,8.7,10.3,1.5,1.9,11.1,23.8,27.5,20.9,48.5,0.126,1.6,-0.2,1.5,16.1
-0.387562749,-1.422830785,3-and-D Wings,Danny Green,Active,greenda02,108,101,13.7,0.571,0.612,0.132,2.6,12.7,7.8,9.3,2.1,2.4,11.7,16.2,11.6,18.2,29.8,0.127,1.4,2,3.4,15.3
1.233250569,-1.304400425,Versatile Forwards,Dante Cunningham,Active,cunnida01,106,107,11.2,0.5,0.107,0.157,6.2,14.1,10.1,5.2,1.6,1.9,7.9,13.9,7.4,11.6,19,0.077,-2.1,0.9,-1.2,2.5
-2.186409337,-0.248539409,Scoring Wings,Dante Exum,Active,exumda01,94,109,6.5,0.48,0.555,0.106,1.9,7.2,4.6,15.9,1.1,0.7,19.4,15,-1.1,1.9,0.8,0.015,-2.4,-1,-3.4,-0.9
0.81130573,-0.422662257,Versatile Forwards,Dario Saric,Active,saricda01,94,108,11.5,0.498,0.394,0.208,6,20.7,13.4,11.8,1.3,0.9,15,22.9,-1,1.5,0.4,0.015,-2.7,-0.3,-3,-0.3
-0.454687844,-0.753328076,3-and-D Wings,Darius Miller,Inactive,milleda01,106,112,7.3,0.533,0.477,0.157,1.3,9.4,5.3,8.9,1.5,1.2,13.3,10.9,0.8,0.5,1.2,0.04,-1.6,-0.9,-2.5,-0.2
-3.00068957,0.447758582,Combo Guards,Darius Morris,Inactive,morrida01,91,110,7.7,0.46,0.338,0.188,3.1,6.4,4.8,19.7,1.6,0.1,19.3,17.7,-1,0.7,-0.3,-0.01,-3.4,-2.3,-5.6,-1.3
1.898800524,-0.033273388,Offensive Centers,Darrell Arthur,Active,arthuda01,101,106,12.2,0.494,0.135,0.151,7.1,16,11.5,7.2,1.7,2.8,11.1,18.6,2.5,9.6,12.1,0.067,-2.4,0.5,-1.8,0.3
-3.340330721,0.782924257,Combo Guards,Darren Collison,Active,collida01,110,110,15.9,0.562,0.217,0.291,1.8,8.1,5,26,1.9,0.4,15.6,20.2,24.1,10.6,34.7,0.103,1.1,-1.3,-0.2,7.2
