,Status,Player,Pos,Player_ID,url,G,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OBPM,DPM,BPM,FG%,AVG_DIST_FGA,%FGA_2P,%FGA_0-3ft,%FGA_3-10ft,%FGA_10-16ft,%FGA_16ft<3,%FGA_3P,2P%,0-3_FG%,3-10_FG%,10-16_FG%,16<3_FG%,3P%,%ASTd_2P,%FGA_DUNK,%ASTd_3P,%_CORNER3PA,3P%_CORNER3,FG_100,FGA_100,FG%_100,3P_100,3PA_100,3P%_100,2P_100,2PA_100,2P%_100,FT_100,FTA_100,FT%_100,ORB_100,DRB_100,TRB_100,AST_100,STL_100,BLK_100,TOV_100,PF_100,PTS_100,ORtg,DRtg,Cluster
494,Inactive,Orlando Johnson,SG,johnsor01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/j/johnsor01.html,103,8.5,0.462,0.202,3.4,14.4,9.0,9.9,0.9,1.0,11.9,16.5,-3.2,-0.5,-3.8,0.358,15.7,0.538,0.239,0.119,0.046,0.135,0.462,0.398,0.526,0.333,0.067,0.341,0.311,0.386,0.024,0.872,0.331,0.3,5.5,15.4,0.358,2.2,7.1,0.311,3.3,8.3,0.398,2.3,3.1,0.727,1.6,6.9,8.5,3.2,0.9,0.7,2.3,4.0,15.5,96,103,5
495,Active,Otto Porter,SF,porteot01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/p/porteot01.html,241,14.5,0.575,0.172,5.0,14.8,9.9,7.1,2.0,1.3,8.4,15.7,0.7,0.9,1.6,0.482,15.4,0.636,0.224,0.096,0.087,0.23,0.364,0.532,0.704,0.4,0.474,0.44,0.395,0.705,0.033,0.961,0.389,0.39,7.2,15.0,0.482,2.2,5.5,0.395,5.1,9.5,0.532,2.0,2.6,0.757,2.2,6.6,8.8,2.4,2.0,0.8,1.5,3.6,18.6,114,105,1
496,Inactive,P.J. Hairston,SG,hairspj02,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/h/hairspj02.html,111,7.6,0.46,0.148,2.5,12.4,7.3,4.6,1.4,1.0,8.0,17.7,-2.5,-1.4,-3.9,0.343,18.0,0.403,0.199,0.068,0.044,0.092,0.597,0.414,0.511,0.326,0.367,0.29,0.295,0.593,0.015,0.958,0.213,0.337,5.9,17.2,0.343,3.0,10.3,0.295,2.9,6.9,0.414,2.1,2.5,0.81,1.2,5.6,6.8,1.5,1.3,0.6,1.6,5.0,16.9,92,107,1
497,Active,P.J. Tucker,SF,tuckepj01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/t/tuckepj01.html,394,11.9,0.527,0.254,6.7,16.1,11.3,8.3,2.1,0.7,13.0,13.2,-0.3,1.3,1.0,0.434,11.9,0.673,0.355,0.164,0.051,0.103,0.327,0.476,0.579,0.354,0.381,0.358,0.347,0.458,0.019,0.939,0.723,0.366,5.1,11.8,0.434,1.3,3.8,0.347,3.8,7.9,0.476,2.2,3.0,0.753,3.0,7.1,10.2,2.8,2.1,0.4,2.0,4.0,13.8,109,108,1
498,Inactive,Pablo Prigioni,PG,prigipa01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/p/prigipa01.html,270,12.3,0.574,0.109,3.6,9.2,6.3,24.4,3.1,0.1,23.8,10.9,0.4,-0.1,0.3,0.425,19.7,0.319,0.158,0.064,0.056,0.042,0.681,0.522,0.661,0.36,0.295,0.545,0.379,0.328,0.0,0.616,0.168,0.411,3.8,9.0,0.425,2.3,6.1,0.379,1.5,2.9,0.522,0.9,1.0,0.872,1.7,4.1,5.8,8.8,3.1,0.1,2.9,4.9,10.8,115,107,6
499,Active,Pascal Siakam,PF,siakapa01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/s/siakapa01.html,48,11.0,0.522,0.171,8.2,15.1,11.6,2.7,1.4,4.5,13.4,12.8,-2.9,1.5,-1.4,0.503,6.8,0.979,0.471,0.246,0.118,0.144,0.021,0.514,0.614,0.457,0.318,0.444,0.0,0.681,0.102,0.0,0.5,0.0,5.9,11.7,0.503,0.0,0.3,0.0,5.9,11.5,0.514,1.4,2.0,0.688,3.7,6.7,10.4,0.9,1.4,2.6,1.9,6.4,13.1,106,108,7
500,Active,Pat Connaughton,SG,connapa01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/c/connapa01.html,61,8.6,0.467,0.159,6.4,14.0,10.2,10.4,0.9,0.5,14.5,14.3,-3.0,-1.8,-4.8,0.364,13.5,0.58,0.352,0.102,0.045,0.08,0.42,0.392,0.548,0.222,0.0,0.143,0.324,0.65,0.0,0.917,0.216,0.25,4.7,12.9,0.364,1.8,5.4,0.324,2.9,7.5,0.392,1.8,2.1,0.857,2.9,6.3,9.3,3.7,0.9,0.3,2.4,2.8,12.9,100,113,1
501,Active,Patrick Beverley,SG,beverpa01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/b/beverpa01.html,269,12.8,0.54,0.154,4.7,10.6,7.7,17.6,2.2,1.1,13.2,15.1,1.3,0.6,1.9,0.416,16.1,0.457,0.19,0.172,0.049,0.046,0.543,0.464,0.572,0.414,0.374,0.303,0.375,0.288,0.004,0.909,0.392,0.378,5.8,14.0,0.416,2.9,7.6,0.375,3.0,6.4,0.464,1.7,2.2,0.769,2.1,4.8,6.8,5.8,2.2,0.7,2.3,5.3,16.2,113,107,2
503,Active,Patrick McCaw,SG,mccawpa01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/m/mccawpa01.html,47,7.7,0.524,0.129,2.0,6.7,4.5,9.4,1.3,1.4,12.9,12.6,-1.9,-0.6,-2.5,0.414,17.5,0.429,0.179,0.093,0.079,0.079,0.571,0.5,0.68,0.462,0.273,0.364,0.35,0.7,0.021,0.929,0.363,0.345,4.8,11.5,0.414,2.3,6.6,0.35,2.5,4.9,0.5,0.9,1.5,0.611,0.8,3.1,3.9,3.6,1.3,0.8,1.8,3.3,12.7,103,109,5
504,Active,Patrick Patterson,PF,pattepa01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/p/pattepa01.html,452,13.3,0.536,0.122,7.1,15.5,11.3,7.9,1.3,1.7,9.5,15.2,0.4,0.3,0.7,0.46,14.3,0.674,0.183,0.186,0.141,0.164,0.326,0.506,0.63,0.48,0.45,0.444,0.366,0.669,0.043,0.989,0.427,0.396,6.9,14.9,0.46,1.8,4.9,0.366,5.1,10.1,0.506,1.4,1.8,0.74,3.2,6.9,10.1,2.6,1.3,1.1,1.7,4.0,16.9,112,108,3
505,Active,Patty Mills,PG,millspa02,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/m/millspa02.html,416,15.6,0.557,0.117,2.3,8.0,5.2,19.5,2.0,0.2,11.5,21.7,2.2,-1.3,0.9,0.438,18.1,0.504,0.154,0.053,0.059,0.239,0.496,0.479,0.625,0.384,0.438,0.414,0.397,0.441,0.0,0.827,0.297,0.437,9.0,20.6,0.438,4.0,10.2,0.397,5.0,10.4,0.479,2.0,2.4,0.84,1.0,3.7,4.7,6.4,2.0,0.2,2.8,3.6,24.1,109,105,2
506,Active,Pau Gasol,C,gasolpa01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/g/gasolpa01.html,1094,21.5,0.565,0.405,8.6,21.6,15.2,16.6,0.8,3.5,12.5,23.5,1.5,2.0,3.5,0.51,7.6,0.98,0.357,0.308,0.153,0.162,0.02,0.514,0.658,0.438,0.416,0.435,0.322,0.594,0.097,0.968,0.408,0.387,10.2,20.1,0.51,0.1,0.4,0.322,10.1,19.7,0.514,6.1,8.1,0.753,3.9,10.1,14.1,4.9,0.8,2.5,3.4,3.3,26.7,113,104,7
507,Active,Paul George,SF,georgpa01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/g/georgpa01.html,423,18.2,0.552,0.303,3.1,17.9,10.6,16.9,2.6,1.0,13.6,25.4,2.1,1.5,3.7,0.428,15.7,0.625,0.21,0.089,0.123,0.203,0.375,0.465,0.614,0.367,0.384,0.401,0.367,0.379,0.051,0.793,0.227,0.404,9.5,22.2,0.428,3.0,8.3,0.367,6.4,13.8,0.465,5.7,6.7,0.848,1.4,8.4,9.8,5.0,2.6,0.7,4.0,4.2,27.7,106,100,5
508,Active,Paul Millsap,PF,millspa01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/m/millspa01.html,821,19.2,0.558,0.383,9.2,20.3,14.8,12.9,2.3,2.9,12.5,22.1,1.2,2.3,3.4,0.493,8.8,0.891,0.405,0.204,0.129,0.153,0.109,0.513,0.646,0.404,0.389,0.411,0.332,0.63,0.058,0.957,0.194,0.378,9.3,18.9,0.493,0.7,2.1,0.332,8.6,16.8,0.513,5.3,7.2,0.735,4.0,9.0,13.0,4.0,2.3,1.8,3.1,5.5,24.6,111,102,7
509,Active,Paul Pierce,SF,piercpa01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/p/piercpa01.html,1331,19.8,0.568,0.441,2.8,16.2,9.6,18.8,2.0,1.3,13.2,26.9,2.9,0.5,3.3,0.446,14.3,0.699,0.264,0.075,0.141,0.22,0.301,0.479,0.612,0.326,0.414,0.413,0.368,0.445,0.024,0.869,0.121,0.383,9.9,22.1,0.445,2.4,6.6,0.369,7.4,15.5,0.478,7.9,9.8,0.807,1.2,7.3,8.5,5.4,2.0,0.8,4.0,4.1,30.0,109,103,5
511,Inactive,Pero Antic,C,anticpe01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/a/anticpe01.html,113,10.6,0.526,0.32,6.9,16.3,11.7,8.3,1.0,1.1,13.4,18.1,-0.9,-1.2,-2.1,0.392,17.6,0.417,0.229,0.054,0.039,0.095,0.583,0.5,0.615,0.25,0.348,0.429,0.314,0.618,0.031,0.991,0.177,0.328,6.0,15.3,0.392,2.8,8.9,0.314,3.2,6.4,0.5,3.6,4.9,0.73,3.0,7.3,10.3,2.8,1.0,0.7,2.7,6.7,18.4,103,107,3
512,Inactive,Perry Jones,SF,jonespe01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/j/jonespe01.html,143,8.5,0.483,0.203,3.3,13.1,8.4,4.7,1.1,1.6,10.6,14.9,-3.7,-1.0,-4.6,0.42,12.9,0.735,0.239,0.222,0.103,0.17,0.265,0.466,0.694,0.417,0.333,0.291,0.293,0.692,0.103,1.0,0.431,0.34,5.9,14.0,0.42,1.1,3.7,0.293,4.8,10.3,0.466,1.9,2.8,0.66,1.4,6.2,7.6,1.6,1.1,1.0,1.8,4.1,14.7,98,107,1
513,Inactive,Phil Pressey,PG,pressph01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/p/pressph01.html,148,9.9,0.419,0.236,1.9,10.2,6.0,31.4,2.9,0.6,22.4,15.7,-3.5,-0.5,-4.0,0.341,14.6,0.626,0.297,0.107,0.057,0.164,0.374,0.392,0.527,0.241,0.276,0.289,0.254,0.153,0.01,0.708,0.058,0.091,4.3,12.7,0.341,1.2,4.8,0.254,3.1,7.9,0.392,1.9,3.0,0.63,0.9,4.5,5.4,10.9,2.9,0.4,4.0,4.5,11.7,91,106,4
515,Active,Quincy Acy,PF,acyqu01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/a/acyqu01.html,237,12.8,0.572,0.334,8.2,18.3,13.1,6.0,1.4,2.2,13.0,13.8,-1.5,0.0,-1.5,0.495,10.9,0.811,0.393,0.121,0.08,0.215,0.189,0.527,0.662,0.41,0.439,0.382,0.359,0.72,0.159,0.982,0.404,0.381,5.9,11.9,0.495,0.8,2.2,0.359,5.1,9.6,0.527,3.0,4.0,0.757,3.7,8.1,11.8,2.0,1.4,1.4,2.0,6.5,15.6,113,108,7
516,Inactive,Quincy Miller,PF,millequ01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/m/millequ01.html,69,8.4,0.439,0.222,4.7,14.9,9.8,5.8,1.6,2.9,13.8,17.8,-4.2,0.3,-4.0,0.35,14.1,0.631,0.284,0.121,0.065,0.16,0.369,0.383,0.506,0.378,0.15,0.265,0.292,0.432,0.052,0.939,0.398,0.311,5.6,16.1,0.35,1.7,6.0,0.292,3.9,10.2,0.383,2.5,3.6,0.706,2.2,6.7,8.9,2.0,1.6,2.0,2.8,4.3,15.6,88,107,1
517,Inactive,Quincy Pondexter,SF,pondequ01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/p/pondequ01.html,279,9.9,0.535,0.228,4.2,9.0,6.6,6.9,1.1,0.7,10.1,13.9,-0.4,-0.6,-1.0,0.424,14.9,0.555,0.273,0.121,0.059,0.103,0.445,0.472,0.59,0.344,0.329,0.391,0.365,0.577,0.055,0.941,0.524,0.424,5.6,13.1,0.424,2.1,5.8,0.365,3.4,7.3,0.472,2.2,3.0,0.732,1.9,4.0,6.0,2.4,1.1,0.5,1.6,4.4,15.5,109,108,1
519,Active,Rajon Rondo,PG,rondora01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/r/rondora01.html,693,16.4,0.499,0.246,4.1,13.3,8.8,41.6,2.9,0.3,21.4,19.2,0.4,1.4,1.7,0.463,9.5,0.89,0.421,0.177,0.074,0.218,0.11,0.484,0.607,0.35,0.372,0.391,0.292,0.288,0.011,0.633,0.26,0.361,7.1,15.4,0.463,0.5,1.7,0.292,6.6,13.7,0.484,2.3,3.8,0.605,1.7,6.0,7.8,13.7,2.9,0.2,4.7,3.6,17.0,104,103,4
521,Active,Ramon Sessions,PG,sessira01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/s/sessira01.html,663,16.0,0.533,0.484,2.4,10.8,6.5,28.8,1.5,0.3,14.8,22.0,0.0,-1.8,-1.8,0.436,9.0,0.883,0.407,0.22,0.106,0.15,0.117,0.452,0.553,0.354,0.364,0.384,0.316,0.374,0.019,0.77,0.165,0.346,7.7,17.7,0.436,0.7,2.1,0.316,7.1,15.6,0.452,6.8,8.6,0.792,1.1,4.8,5.9,8.9,1.5,0.2,3.7,3.0,22.8,108,111,6
522,Active,Randy Foye,SG,foyera01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/f/foyera01.html,726,12.1,0.524,0.211,1.5,8.5,5.0,17.6,1.4,0.9,13.0,19.8,0.3,-1.6,-1.3,0.401,17.1,0.557,0.174,0.105,0.061,0.217,0.443,0.429,0.56,0.336,0.353,0.388,0.367,0.295,0.008,0.796,0.195,0.39,7.3,18.2,0.401,3.0,8.1,0.367,4.3,10.1,0.429,3.3,3.8,0.85,0.7,3.8,4.5,5.7,1.4,0.6,3.0,4.2,20.8,105,111,2
523,Active,Rashad Vaughn,SG,vaughra01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/v/vaughra01.html,94,5.1,0.414,0.047,1.1,9.3,5.2,5.4,1.6,1.4,8.7,14.2,-4.0,-1.8,-5.8,0.319,17.5,0.438,0.152,0.097,0.075,0.114,0.562,0.335,0.418,0.2,0.185,0.439,0.305,0.774,0.011,0.952,0.399,0.284,4.6,14.3,0.319,2.5,8.1,0.305,2.1,6.3,0.335,0.5,0.7,0.765,0.5,4.2,4.6,1.9,1.6,0.8,1.4,3.4,12.1,85,111,5
524,Inactive,Rasual Butler,SF,butlera01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/b/butlera01.html,809,10.6,0.505,0.14,2.0,11.1,6.6,6.3,0.9,1.9,8.0,17.7,-1.3,-0.8,-2.1,0.403,17.8,0.557,0.129,0.055,0.12,0.253,0.443,0.437,0.615,0.371,0.378,0.387,0.362,0.616,0.027,0.924,0.36,0.387,7.1,17.5,0.403,2.8,7.8,0.362,4.3,9.8,0.437,1.8,2.5,0.747,0.9,5.1,6.0,2.0,0.9,1.3,1.6,3.5,18.8,102,108,1
525,Active,Raul Neto,PG,netora01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/n/netora01.html,110,10.2,0.53,0.155,1.2,8.2,4.8,18.2,2.3,0.1,19.1,17.0,-1.7,-0.5,-2.2,0.434,14.1,0.616,0.254,0.153,0.103,0.107,0.384,0.466,0.603,0.356,0.347,0.412,0.383,0.241,0.002,0.814,0.361,0.379,6.4,14.7,0.434,2.2,5.6,0.383,4.2,9.1,0.466,1.7,2.3,0.757,0.6,3.8,4.3,6.0,2.3,0.1,3.7,4.6,16.6,99,106,2
526,Inactive,Ray McCallum,PG,mccalra01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/m/mccalra01.html,154,11.0,0.47,0.155,3.2,9.1,6.2,20.7,1.4,0.8,13.1,17.8,-1.4,-1.4,-2.8,0.408,12.9,0.769,0.271,0.155,0.112,0.229,0.231,0.43,0.613,0.338,0.398,0.295,0.335,0.37,0.027,0.859,0.401,0.294,6.7,16.5,0.408,1.3,3.8,0.335,5.5,12.7,0.43,1.8,2.6,0.711,1.4,4.1,5.5,6.6,1.4,0.5,2.7,3.4,16.6,100,110,2
527,Active,Raymond Felton,PG,feltora01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/f/feltora01.html,831,14.0,0.498,0.229,2.2,9.3,5.7,29.6,2.1,0.6,15.8,20.6,0.2,-0.6,-0.4,0.413,13.8,0.727,0.297,0.111,0.063,0.257,0.273,0.444,0.527,0.391,0.364,0.392,0.329,0.237,0.003,0.769,0.149,0.366,7.4,17.9,0.413,1.6,4.9,0.329,5.8,13.1,0.444,3.2,4.1,0.789,1.0,4.1,5.1,9.4,2.1,0.4,3.7,3.4,19.7,103,109,6
528,Active,Reggie Bullock,SF,bullore01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/b/bullore01.html,131,8.8,0.506,0.104,2.5,13.6,8.1,6.1,1.3,0.6,8.6,13.0,-1.9,-0.6,-2.5,0.392,18.4,0.425,0.169,0.054,0.065,0.138,0.575,0.464,0.717,0.263,0.348,0.286,0.338,0.743,0.006,0.971,0.387,0.456,5.1,12.9,0.392,2.5,7.4,0.338,2.5,5.5,0.464,1.1,1.3,0.784,1.2,6.2,7.3,2.1,1.3,0.4,1.3,3.2,13.7,103,108,1
529,Inactive,Reggie Evans,PF,evansre01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/e/evansre01.html,809,11.7,0.502,0.856,15.0,28.7,21.9,4.3,1.9,0.6,21.5,12.1,-2.7,0.7,-2.0,0.465,3.0,0.995,0.694,0.222,0.039,0.04,0.005,0.467,0.539,0.306,0.301,0.266,0.091,0.561,0.061,0.0,0.182,0.0,3.8,8.1,0.465,0.0,0.0,0.091,3.8,8.0,0.467,3.6,6.9,0.528,6.7,12.8,19.6,1.6,1.9,0.4,3.0,6.4,11.2,103,104,0
530,Active,Reggie Jackson,PG,jacksre01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/j/jacksre01.html,388,16.4,0.521,0.226,2.4,11.3,7.0,29.6,1.5,0.4,14.2,24.5,1.4,-1.2,0.3,0.432,12.7,0.728,0.273,0.198,0.115,0.14,0.272,0.474,0.594,0.405,0.434,0.371,0.32,0.122,0.021,0.529,0.127,0.329,9.5,22.0,0.432,1.9,6.0,0.32,7.6,16.0,0.474,4.3,5.0,0.858,1.1,5.3,6.4,9.0,1.5,0.2,4.0,3.8,25.2,106,107,6
531,Active,Reggie Williams,SF,willire02,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/w/willire02.html,205,14.3,0.559,0.205,3.1,12.1,7.5,13.1,1.2,0.3,9.0,18.7,0.9,-2.8,-1.9,0.456,15.6,0.585,0.244,0.114,0.073,0.155,0.415,0.521,0.699,0.389,0.389,0.399,0.366,0.506,0.027,0.93,0.25,0.419,8.1,17.8,0.456,2.7,7.4,0.366,5.4,10.4,0.521,2.7,3.6,0.75,1.4,5.3,6.7,4.1,1.2,0.2,1.9,3.3,21.7,112,113,5
532,Active,Richard Jefferson,SF,jefferi01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/j/jefferi01.html,1137,14.5,0.567,0.419,3.1,12.9,8.0,12.1,1.2,0.8,11.9,20.1,0.6,-0.3,0.4,0.464,12.7,0.754,0.328,0.095,0.079,0.252,0.246,0.492,0.633,0.353,0.361,0.403,0.376,0.661,0.089,0.951,0.414,0.418,7.9,17.1,0.464,1.6,4.2,0.376,6.3,12.9,0.492,5.5,7.2,0.768,1.4,5.8,7.2,3.7,1.2,0.5,2.7,4.0,22.9,110,107,1
533,Active,Richaun Holmes,C,holmeri01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/h/holmeri01.html,83,16.3,0.567,0.318,9.8,15.0,12.4,8.2,1.5,4.4,11.7,18.0,-1.1,0.9,-0.2,0.517,7.9,0.827,0.533,0.16,0.073,0.06,0.173,0.575,0.729,0.262,0.321,0.348,0.242,0.751,0.205,1.0,0.167,0.455,8.1,15.6,0.521,0.6,2.7,0.239,7.5,12.9,0.579,3.3,5.0,0.661,4.5,6.6,11.1,2.4,1.5,2.8,2.4,6.2,20.2,111,107,7
535,Active,Ricky Rubio,PG,rubiori01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/r/rubiori01.html,329,15.9,0.498,0.458,2.5,12.8,7.6,38.8,3.5,0.3,21.6,17.8,0.5,0.7,1.2,0.371,14.1,0.748,0.281,0.073,0.087,0.307,0.252,0.391,0.478,0.261,0.305,0.366,0.311,0.222,0.0,0.907,0.228,0.331,4.9,13.3,0.371,1.0,3.3,0.311,3.9,10.0,0.391,5.0,6.1,0.822,1.1,5.6,6.8,13.3,3.5,0.2,4.4,4.1,15.9,105,106,4
536,Inactive,Robbie Hummel,SF,hummero01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/h/hummero01.html,98,9.6,0.514,0.129,5.1,16.5,10.6,5.3,1.1,0.6,7.1,12.3,-1.6,-1.2,-2.9,0.418,17.9,0.599,0.123,0.069,0.066,0.341,0.401,0.469,0.837,0.208,0.522,0.378,0.343,0.714,0.011,1.0,0.45,0.286,5.2,12.5,0.418,1.7,5.0,0.343,3.5,7.5,0.469,1.4,1.6,0.867,2.4,7.2,9.5,1.8,1.1,0.4,1.0,5.1,13.6,110,111,3
537,Active,Robert Covington,SF,covinro01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/c/covinro01.html,194,13.4,0.54,0.254,4.0,17.4,10.5,8.7,2.7,1.7,14.2,20.8,-0.1,0.4,0.3,0.389,17.6,0.381,0.219,0.098,0.026,0.037,0.619,0.445,0.58,0.26,0.264,0.267,0.354,0.608,0.017,0.934,0.145,0.367,7.1,18.1,0.389,4.0,11.2,0.354,3.1,6.9,0.445,3.7,4.6,0.804,1.8,7.7,9.5,2.5,2.7,1.1,3.3,5.2,21.8,100,105,1
538,Inactive,Robert Sacre,C,sacrero01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/s/sacrero01.html,189,10.8,0.475,0.309,8.2,15.3,11.7,7.0,1.0,3.1,11.0,14.9,-3.5,0.4,-3.1,0.436,8.8,0.999,0.232,0.346,0.251,0.17,0.001,0.437,0.651,0.361,0.377,0.387,0.0,0.752,0.086,0.0,0.0,0.0,5.8,13.3,0.436,0.0,0.0,0.0,5.8,13.3,0.437,2.7,4.1,0.671,3.9,6.9,10.8,2.3,1.0,2.0,1.9,6.1,14.3,101,110,7
539,Active,Robin Lopez,C,lopezro01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/l/lopezro01.html,604,16.7,0.568,0.308,12.6,14.6,13.6,4.7,0.6,4.2,11.9,17.0,-0.2,0.7,0.6,0.528,5.5,0.999,0.479,0.318,0.116,0.086,0.001,0.529,0.649,0.43,0.365,0.442,0.0,0.614,0.1,0.0,0.4,0.0,8.0,15.2,0.528,0.0,0.0,0.0,8.0,15.1,0.529,3.5,4.7,0.759,5.8,6.8,12.6,1.5,0.6,2.9,2.3,4.7,19.5,115,108,0
540,Active,Rodney Hood,SG,hoodro01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/h/hoodro01.html,170,13.3,0.534,0.194,1.4,11.3,6.5,13.3,1.4,0.6,9.9,21.5,0.9,-0.9,-0.1,0.419,16.4,0.539,0.12,0.186,0.122,0.112,0.461,0.468,0.626,0.426,0.43,0.407,0.362,0.243,0.016,0.767,0.221,0.371,8.5,20.3,0.417,3.4,9.4,0.361,5.1,10.9,0.466,3.2,3.9,0.815,0.6,5.2,5.9,4.1,1.4,0.4,2.4,4.6,23.6,107,107,5
541,Active,Rodney McGruder,SG,mcgruro01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/m/mcgruro01.html,53,8.8,0.494,0.165,5.6,8.8,7.2,8.2,1.4,0.6,9.6,12.0,-0.9,0.6,-0.3,0.397,15.2,0.527,0.213,0.171,0.063,0.076,0.473,0.452,0.672,0.315,0.25,0.292,0.336,0.493,0.032,1.0,0.577,0.337,4.5,11.4,0.397,1.8,5.4,0.336,2.7,6.0,0.452,1.2,1.9,0.654,2.6,4.0,6.6,2.9,1.4,0.4,1.3,3.6,12.1,107,110,1
542,Active,Rodney Stuckey,PG,stuckro01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/s/stuckro01.html,637,15.1,0.514,0.372,2.7,9.9,6.2,21.9,1.7,0.4,12.8,23.5,0.0,-1.3,-1.3,0.425,10.8,0.868,0.347,0.158,0.133,0.229,0.132,0.444,0.538,0.378,0.396,0.375,0.3,0.343,0.006,0.799,0.287,0.314,8.7,20.4,0.425,0.8,2.7,0.3,7.8,17.7,0.444,6.2,7.6,0.825,1.3,4.4,5.6,6.9,1.7,0.3,3.5,4.0,24.4,105,110,2
544,Active,Rondae Hollis-Jefferson,SF,holliro01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/h/holliro01.html,82,13.0,0.52,0.472,5.3,20.8,13.1,12.9,2.5,1.9,16.4,16.5,-2.7,2.0,-0.8,0.431,8.8,0.867,0.451,0.174,0.118,0.124,0.133,0.462,0.565,0.313,0.389,0.368,0.23,0.484,0.059,0.857,0.311,0.211,5.6,12.8,0.436,0.4,1.7,0.238,5.2,11.1,0.467,4.5,6.0,0.743,2.3,9.3,11.7,4.2,2.5,1.2,3.0,5.0,16.1,102,108,3
