unique_id,GP,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TO RATIO,EFG%,TS%,PACE,PIE
1101.101,19,74,113.1,108.8,4.4,42.9,1.71,11.9,33.8,59.7,47.1,0.1,47.4,53.4,98.92,51.6
10111.01,28,73,93.7,100.2,-6.5,46.8,1.05,11.8,14.9,76.6,43.5,0.1,42.5,50.1,102.3,43.3
10002.2,7,72,89.1,121.3,-32.2,59.6,1.17,15.2,26.1,82.8,52,0.2,44.2,46.6,89.71,32.3
10001.21,16,72,120.5,118.5,2,56.3,2.12,18.1,22.4,65.6,45.1,0.1,57.5,61.9,96.18,51.3
10000.211,12,72,118,96,22,56.3,1.24,17.8,35,77.8,58.3,0.2,60,62.4,97.81,58.6
11200.001,25,72,118.3,96.9,21.4,50,1.38,15.7,36.7,85.2,61.2,0.2,55,58.7,90.52,59.4
1000.121,10,72,103.8,108.7,-4.8,60.3,1.52,17.9,20.4,79.7,51.3,0.2,52.5,56.5,97.9,50.6
11200.001,13,71,114.7,88.3,26.4,67.2,1.88,22.2,28.8,72.3,53,0.2,57.7,61.2,99.72,65.4
101.111,15,71,97.5,97.5,0,63.6,1.46,17.9,35.6,71.4,55.9,0.2,45.1,49.8,95.46,52.9
10210.001,13,71,107.6,94,13.6,51.7,2.38,17.1,24.2,71,48.9,0.1,51.6,53,93.09,58.5
11001.02,12,71,95.8,104,-8.2,64.3,1.38,18.3,22.7,64.3,44.1,0.2,46.8,51.8,97.81,49.4
10101.2,16,70,96.9,110.4,-13.5,70.6,2,19.3,19.7,83.3,51.5,0.1,47.2,50.3,91.85,46.1
0.131,9,70,109.2,116.8,-7.6,61,2,19.3,14.8,74.5,42,0.1,56.4,58.3,95.41,45.6
21000.11,14,70,102,125.8,-23.8,46.9,1.92,13.8,21.9,64.6,43.4,0.1,44,50.2,90.77,39.1
10100.111,7,70,89.2,101.2,-12,49,1.09,13.8,22.1,77,50.7,0.2,43.5,47.3,95.89,43.1
10101.11,16,69,110.2,85.2,25,67.8,1.48,20.7,27.3,72.6,51.3,0.2,57.9,60.4,94.39,68.1
1001.111,14,69,122.3,107.9,14.5,56.3,2.25,18,33.9,65.2,50,0.1,53.8,59.1,94.69,61.9
21200,18,69,103.1,79.9,23.2,66.7,3.17,19,22.9,73.1,49.3,0.1,46.7,50.2,93.65,72.8
21100.01,8,69,102.9,104.4,-1.5,53.7,1.93,15.8,31.4,72.1,51.4,0.1,45,48.9,89.64,49
101.111,18,68,103.7,95.2,8.6,80,1.6,21.4,32.2,66.7,50,0.2,50.9,54.4,91.8,57.4
110.012,22,68,110.5,99.5,11,70.7,3.15,22,19.4,72.9,46.7,0.1,53.2,55.2,94.42,56.4
