first_pos,second_pos,third_pos,fourth_pos,fifth_pos,TEAM,GP,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TO RATIO,EFG%,TS%,PACE,PIE
A.Bradley,J.Crowder,A.Horford,A.Johnson,M.Smart,BOS,12,64,116.8,102.4,14.4,81.5,2.59,25.8,13.6,75,46.9,0.1,62.5,64.3,95.65,56.4
T.Booker,J.Harris,S.Kilpatrick,B.Lopez,I.Whitehead,BKN,15,56,107.5,108.5,-0.9,57.1,1.33,17.3,36.4,61.3,50.9,0.2,54.9,56.1,97.16,52.2
T.Booker,J.Hamilton,J.Harris,S.Kilpatrick,I.Whitehead,BKN,12,62,101.7,101.5,0.2,58.7,1.13,16.2,25.4,76.3,50.8,0.2,52.9,54.8,98.43,45.9
B.Bogdanovic,S.Dinwiddie,R.Foye,R.Hollis-Jefferson,B.Lopez,BKN,7,65,105.3,98.3,7.1,66,1.59,19.4,12.1,90.3,52.5,0.2,55,59,104.71,53.6
B.Bogdanovic,T.Booker,S.Kilpatrick,B.Lopez,I.Whitehead,BKN,22,178,105.5,111.8,-6.3,54.7,1.37,16.8,15.5,77.3,47.2,0.2,54.2,58.2,102.38,46.4
E.Bledsoe,D.Booker,M.Chriss,A.Len,T.Warren,PHX,18,191,103.9,117.9,-14,52.4,1.51,16.3,23,76.6,49.2,0.1,50.7,54.2,103.55,42.8
E.Bledsoe,D.Booker,M.Chriss,B.Knight,A.Len,PHX,5,57,101.1,92.6,8.5,57.1,1.12,17.2,20.5,80,54.8,0.2,54.5,58,107.39,57.3
E.Bledsoe,D.Booker,T.Chandler,P.Tucker,T.Warren,PHX,27,156,118,115.3,2.7,41.9,1.3,12.6,34.5,72.9,52.7,0.1,50.8,57.8,103.6,51
E.Bledsoe,D.Booker,T.Chandler,J.Dudley,T.Warren,PHX,7,115,108,108.3,-0.2,48.5,1.53,15.4,20.2,84.7,50.7,0.1,52.9,56.3,103.5,46.3
E.Bledsoe,D.Booker,T.Chandler,M.Chriss,T.Warren,PHX,25,295,105.4,110.4,-5,55.8,1.47,16.1,24.6,77.4,50.3,0.1,49.4,54.6,102.17,46.9
